"order_id","customer_id","order_date","delivery_date","status","total_amount","delivery_address","promo_code","payment_method"
1,1448,2024-11-06 20:02:00.000,"2024-11-07",delivered,581.81,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 93",WELCOME10,cash
2,1930,2024-08-26 18:33:00.000,"2024-08-27",delivered,1491.84,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 48",,card
3,2326,2024-11-05 14:24:00.000,"2024-11-06",delivered,705.85,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 98",FRESH20,card
4,2260,2024-11-28 20:19:00.000,"2024-11-29",delivered,101.09,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 33",WELCOME10,sbp
5,2153,2024-08-26 19:29:00.000,"2024-08-27",delivered,577.89,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 38",,card
6,1310,2024-06-28 15:58:00.000,"2024-06-29",delivered,2839.82,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 65",,card
7,1594,2024-02-21 10:47:00.000,"2024-02-22",delivered,1311.06,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 48",,cash
8,254,2024-10-26 09:56:00.000,"2024-10-27",delivered,281.5,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 73",SUMMER15,card
9,1153,2024-03-19 14:21:00.000,"2024-03-20",delivered,854.16,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 50",,sbp
10,1893,2024-04-22 08:02:00.000,"2024-04-23",delivered,1171.07,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 27",,card
11,1190,2024-03-24 08:16:00.000,"2024-03-25",delivered,1958.29,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 48",WELCOME10,card
12,1386,2024-10-22 16:35:00.000,"2024-10-23",delivered,108.79,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 86",,cash
13,2029,2024-03-20 18:43:00.000,"2024-03-21",delivered,914.07,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 35",,cash
14,1827,2024-06-02 15:46:00.000,"2024-06-03",delivered,1414.1,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 13",FRESH20,cash
15,1346,2024-09-15 13:26:00.000,"2024-09-16",delivered,103.33,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 39",,card
16,80,2024-03-24 17:30:00.000,"2024-03-25",delivered,317.95,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 8",WELCOME10,sbp
17,1189,2024-08-09 10:26:00.000,"2024-08-10",delivered,943.68,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 51",SUMMER15,card
18,178,2024-07-26 14:54:00.000,"2024-07-27",delivered,2523.07,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 90",FRESH20,card
19,2050,2024-01-27 08:30:00.000,"2024-01-28",delivered,1107.96,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 22",,card
20,1095,2024-02-21 08:37:00.000,"2024-02-22",delivered,1034.36,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 76",,cash
21,2183,2024-09-26 09:53:00.000,"2024-09-27",delivered,799.59,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 64",SUMMER15,card
22,1130,2024-05-25 08:25:00.000,"2024-05-26",delivered,777.2,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 84",FRESH20,sbp
23,525,2024-08-02 20:59:00.000,"2024-08-03",delivered,1410.44,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 93",,card
24,1146,2024-06-19 19:20:00.000,"2024-06-20",delivered,1684.75,"Санкт-Петербург, Выборгский р-н, ул. Примерная, д. 33",WELCOME10,card
25,379,2024-09-11 15:42:00.000,"2024-09-12",delivered,1023.77,"Санкт-Петербург, Центральный р-н, ул. Примерная, д. 91",WELCOME10,card
26,1174,2024-10-17 19:11:00.000,"2024-10-18",confirmed,32.2,"Санкт-Петербург, Калининский р-н, ул. Примерная, д. 54",,sbp
27,2434,2024-06-20 10:02:00.000,"2024-06-21",delivered,2176.05,"Санкт-Петербург, Невский р-н, ул. Примерная, д. 14",WELCOME10,cash
28,841,2024-04-13 11:09:00.000,"2024-04-14",delivered,473.33,"Санкт-Петербург, Фрунзенский р-н, ул. Примерная, д. 68",WELCOME10,cash
29,638,2024-10-29 17:59:00.000,"2024-10-30",delivered,1495.16,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 53",SUMMER15,card
30,2101,2024-08-30 14:59:00.000,"2024-08-31",delivered,4041.99,"Санкт-Петербург, Приморский р-н, ул. Примерная, д. 10",,cash
